01-1121MIL,1ª Série Militar - 2012,Madureira I
01-1122MIL,1ª Série Militar - 2012,Madureira I
01-1221MIL,2ª Série Militar - 2012,Madureira I
01-1222MIL,2ª Série Militar - 2012,Madureira I
01-1321,3ª Série Militar - 2012,Madureira I
01-911F,9° Ano Forte - 2012,Madureira I
01-912F,9° Ano Forte - 2012,Madureira I
01-ESPCEX1,EsPCEx - 2012,Madureira I
01-ESSA1,ESSA - 2012,Madureira I
01-IMEITA1,IME/ITA - 2012,Madureira I
01-IMEITA2,3ª Série Militar - 2012,Madureira I
01-Olimp,Não regular - 2012,Madureira I
01-OLIMPÍADAS,Não regular - 2012,Madureira I
01-PVLE,Não regular - 2012,Madureira I
01-PVM1,Pré-Vestibular Manhã - 2012,Madureira I
01-PVM2,Pré-Vestibular Manhã - 2012,Madureira I
01-PVM3,Pré-Vestibular Manhã - 2012,Madureira I
01-PVM4,Pré-Vestibular Manhã - 2012,Madureira I
01-PVT1,Pré-Vestibular Elite Mais - 2012,Madureira I
01-PVT2,Pré-Vestibular Elite Mais - 2012,Madureira I
02-1111,1ª Série Regular - 2012,Madureira II
02-1112,1ª Série Regular - 2012,Madureira II
02-1121,1ª Série Regular - 2012,Madureira II
02-1211,2ª Série Regular - 2012,Madureira II
02-1212,2ª Série Regular - 2012,Madureira II
02-611,6° Ano Regular - 2012,Madureira II
02-711,7° Ano Regular - 2012,Madureira II
02-811,8° Ano Regular - 2012,Madureira II
03-911MIL,9° Ano Militar - 2012,Tijuca II
03-921MIL,9° Ano Militar - 2012,Tijuca II
03-AFA/EE1,AFA/EEAR/EFOMM - 2012,Tijuca II
03-AFA/EN1,AFA/EN/EFOMM - 2012,Tijuca II
03-ESPCEX1,EsPCEx - 2012,Tijuca II
03-ESPCEX2,EsPCEx - 2012,Tijuca II
03-IMEITA1,IME/ITA - 2012,Tijuca II
03-OLIMP,Não regular - 2012,Tijuca I
03-OLIMP-2,Não regular - 2012,Tijuca I
03-OLIMP3,Não regular - 2012,Tijuca I
03-OLIMPÍADAS,Não regular - 2012,Tijuca II
03-PVN1,Pré-Vestibular Noite - 2012,Tijuca II
04-1111,1ª Série Regular - 2012,Tijuca I
04-1112,1ª Série Regular - 2012,Tijuca I
04-1121MIL,1ª Série Militar - 2012,Tijuca I
04-1211,2ª Série Regular - 2012,Tijuca I
04-1212,2ª Série Regular - 2012,Tijuca I
04-1221MIL,2ª Série Militar - 2012,Tijuca I
04-621,6° Ano Regular - 2012,Tijuca I
04-721,7° Ano Regular - 2012,Tijuca I
04-821,8° Ano Regular - 2012,Tijuca I
04-911F,9° Ano Forte - 2012,Tijuca I
04-IMEJR1,IME Jr. - 2012,Tijuca I
04-OLFIS31,Não regular - 2012,Tijuca I
04-OLIMPÍADAS,Não regular - 2012,Tijuca I
04-PVLE,Não regular - 2012,Tijuca I
04-PVM1,Pré-Vestibular Manhã - 2012,Tijuca I
04-PVM2,Pré-Vestibular Manhã - 2012,Tijuca I
04-PVM3,Pré-Vestibular Manhã - 2012,Tijuca I
04-PVT1,Pré-Vestibular Elite Mais - 2012,Tijuca I
05-911MIL,9° Ano Militar - 2012,Campo Grande I
05-921MIL,9° Ano Militar - 2012,Campo Grande I
05-AFA/EE1,AFA/EEAR/EFOMM - 2012,Campo Grande I
05-AFA/EN1,AFA/EN/EFOMM - 2012,Campo Grande I
05-ESPCEX1,EsPCEx - 2012,Campo Grande I
05-ESSA1,ESSA - 2012,Campo Grande I
05-IMEITA1,IME/ITA - 2012,Campo Grande I
05-OLIMPÍADAS,Não regular - 2012,Campo Grande I
05-PVLE,Não regular - 2012,Campo Grande I
05-PVM1,Pré-Vestibular Manhã - 2012,Campo Grande I
05-PVM2,Pré-Vestibular Manhã - 2012,Campo Grande I
