Não regular,Não regular,
1ª Série Bangu,Pré-Militar,Ensino Médio
1ª Série Regular,Pré-Vestibular,Ensino Médio
2ª Série Bangu,Pré-Militar,Ensino Médio
2ª Série Regular,Pré-Vestibular,Ensino Médio
6° Ano Elite Mais,Pré-Vestibular,Ensino Fundamental
6° Ano Regular,Pré-Vestibular,Ensino Fundamental
6° Ano São Gonçalo,Pré-Vestibular,Ensino Fundamental
7° Ano Elite Mais,Pré-Vestibular,Ensino Fundamental
7° Ano Regular,Pré-Vestibular,Ensino Fundamental
7° Ano São Gonçalo,Pré-Vestibular,Ensino Fundamental
8° Ano Elite Mais,Pré-Vestibular,Ensino Fundamental
8° Ano Regular,Pré-Vestibular,Ensino Fundamental
8° Ano São Gonçalo,Pré-Vestibular,Ensino Fundamental
9° Ano Forte,Pré-Vestibular,Ensino Fundamental
1ª Série Militar,Pré-Militar,9º Ano Militar e Ensino Médio Militar
2ª Série Militar,Pré-Militar,9º Ano Militar e Ensino Médio Militar
3ª Série Militar,Pré-Militar,9º Ano Militar e Ensino Médio Militar
9° Ano Militar,Pré-Militar,9º Ano Militar e Ensino Médio Militar
AFA/EEAR/EFOMM,Pré-Militar,AFA/EN e AFA/EEAR
AFA/EN/EFOMM,Pré-Militar,AFA/EN e AFA/EEAR
EsPCEx,Pré-Militar,EsPCEx e EsSa
ESSA,Pré-Militar,EsPCEx e EsSa
IME Jr.,Pré-Militar,IME/ITA
IME/ITA,Pré-Militar,IME/ITA
Pré-Vestibular Elite Mais,Pré-Vestibular,Pré-Vestibular
Pré-Vestibular Manhã,Pré-Vestibular,Pré-Vestibular
Pré-Vestibular Noite,Pré-Vestibular,Pré-Vestibular
Pré-Vestibular Tarde,Pré-Vestibular,Pré-Vestibular
