1ª série Militar A - M,Campo Grande,1ª série Militar
1ª série Militar B - T,Campo Grande,1ª série Militar
1ª série Regular A - M,Campo Grande,1ª série Regular
1ª série Regular B - T,Campo Grande,1ª série Regular
2ª série Militar A - M,Campo Grande,2ª série Militar
2ª série Regular A - M,Campo Grande,2ª série Regular
3ª série AFA/EFOMM A - T,Campo Grande,3ª Série AFA/EFOMM
3ª série IME/ITA A - T,Campo Grande,3ª Série IME/ITA
3ª série Medicina A - M,Campo Grande,3ª Série Medicina
3ª série Pré-vestibular A - M,Campo Grande,3ª Série Pré-vestibular
3ª série Pré-vestibular B - T,Campo Grande,3ª Série Pré-vestibular
9º ano Preparatório A - M,Campo Grande,9º Ano Preparatório
AFA/EFOMM A - T,Campo Grande,AFA/EFOMM
Campo Grande - Dependência - 1ª série,Campo Grande,Dependência 1ª série
Campo Grande - Dependência - 2ª série,Campo Grande,Dependência 2ª série
Campo Grande - Dependência - 9º ano,Campo Grande,Dependência 9° ano
EsPCEx A - T,Campo Grande,EsPCEx
IME/ITA A - T,Campo Grande,IME/ITA
Medicina A - M,Campo Grande,Medicina
Pré-vestibular A - M,Campo Grande,Pré-vestibular
Pré-vestibular B - N,Campo Grande,Pré-vestibular
1ª série Regular A - M,Freguesia 1,1ª série Regular
1ª série Regular B - M,Freguesia 1,1ª série Regular
1ª série Regular C - T,Freguesia 1,1ª série Regular
1ª série Regular D - T,Freguesia 1,1ª série Regular
1º ano A - M,Freguesia 1,EF 1º ano
1º ano B - T,Freguesia 1,EF 1º ano
2ª série Regular A - M,Freguesia 1,2ª série Regular
2ª série Regular B - M,Freguesia 1,2ª série Regular
2ª série Regular C - T,Freguesia 1,2ª série Regular
2º ano A - M,Freguesia 1,EF 2º ano
2º ano B - T,Freguesia 1,EF 2º ano
3ª série Medicina  A - M,Freguesia 1,3ª Série Medicina
3ª série Pré-vestibular A - M,Freguesia 1,3ª Série Pré-vestibular
3ª série Pré-vestibular B - M,Freguesia 1,3ª Série Pré-vestibular
3ª série Pré-vestibular C - M,Freguesia 1,3ª Série Pré-vestibular
3ª série Pré-vestibular D - T,Freguesia 1,3ª Série Pré-vestibular
3º ano A - M,Freguesia 1,EF 3º ano
3º ano B - T,Freguesia 1,EF 3º ano
4º ano A - M,Freguesia 1,EF 4º ano
4º ano B - T,Freguesia 1,EF 4º ano
5º ano A - M,Freguesia 1,EF 5º ano
5º ano B - T,Freguesia 1,EF 5º ano
6º ano A - M,Freguesia 1,EF 6º ano
6º ano B - M,Freguesia 1,EF 6º ano
6º ano C - T,Freguesia 1,EF 6º ano
7º ano A - M,Freguesia 1,EF 7º ano
7º ano B - M,Freguesia 1,EF 7º ano
7º ano C - T,Freguesia 1,EF 7º ano
8º ano A - M,Freguesia 1,EF 8º ano
8º ano B - M,Freguesia 1,EF 8º ano
8º ano C - T,Freguesia 1,EF 8º ano
9º ano A - M,Freguesia 1,EF 9º ano
9º ano B - M,Freguesia 1,EF 9º ano
9º ano C - T,Freguesia 1,EF 9º ano
9º ano Preparatório A - T,Freguesia 1,9º Ano Preparatório
Freguesia 1 - Dependência - 1ª série,Freguesia 1,Dependência 1ª série
Freguesia 1 - Dependência - 2ª série,Freguesia 1,Dependência 2ª série
Freguesia 1 - Dependência - 6º ano,Freguesia 1,Dependência 6º ano
Freguesia 1 - Dependência - 7º ano,Freguesia 1,Dependência 7º ano
Freguesia 1 - Dependência - 8º ano,Freguesia 1,Dependência 8º ano
Freguesia 1 - Dependência - 9º ano,Freguesia 1,Dependência 9° ano
Medicina  A - M,Freguesia 1,Medicina
Preparatório A - T,Freguesia 1,Preparatório
Pré-vestibular A - M,Freguesia 1,Pré-vestibular
Pré-vestibular B - M,Freguesia 1,Pré-vestibular
Pré-vestibular C - M,Freguesia 1,Pré-vestibular
Pré-vestibular D - T,Freguesia 1,Pré-vestibular
Pré-vestibular E - N,Freguesia 1,Pré-vestibular
1ª série Militar A - M,Icaraí 1,1ª série Militar
1ª série Regular A - T,Icaraí 1,1ª série Regular
2ª série Militar A - M,Icaraí 1,2ª série Militar
2ª série Regular A - M,Icaraí 1,2ª série Regular
2ª série Regular B - M,Icaraí 1,2ª série Regular
2ª série Regular C - T,Icaraí 1,2ª série Regular
3ª série AFA/EFOMM A - T,Icaraí 1,3ª Série AFA/EFOMM
3ª série IME/ITA A - T,Icaraí 1,3ª Série IME/ITA
3ª série Medicina A - M,Icaraí 1,3ª Série Medicina
3ª série Pré-vestibular A - M,Icaraí 1,3ª Série Pré-vestibular
3ª série Pré-vestibular B - M,Icaraí 1,3ª Série Pré-vestibular
3ª série Pré-vestibular C - M,Icaraí 1,3ª Série Pré-vestibular
3ª série Pré-vestibular D - T,Icaraí 1,3ª Série Pré-vestibular
AFA/EFOMM A - T,Icaraí 1,AFA/EFOMM
Icaraí 1 - Dependência - 1ª série,Icaraí 1,Dependência 1ª série
Icaraí 1 - Dependência - 2ª série,Icaraí 1,Dependência 2ª série
Icaraí 1 - Dependência - 9º ano,Icaraí 1,Dependência 9° ano
IME/ITA A - T,Icaraí 1,IME/ITA
Medicina A - M,Icaraí 1,Medicina
Pré-vestibular A - M,Icaraí 1,Pré-vestibular
Pré-vestibular B - M,Icaraí 1,Pré-vestibular
Pré-vestibular C - M,Icaraí 1,Pré-vestibular
Pré-vestibular D - T,Icaraí 1,Pré-vestibular
Pré-vestibular E - N,Icaraí 1,Pré-vestibular
1ª série Regular A - M,Icaraí 2,1ª série Regular
1ª série Regular B - M,Icaraí 2,1ª série Regular
1ª série Regular C- T,Icaraí 2,1ª série Regular
1º ano A - M,Icaraí 2,EF 1º ano
2ª série Militar A - M,Icaraí 2,2ª série Militar
2ª série Regular A - M,Icaraí 2,2ª série Regular
2ª série Regular B - M,Icaraí 2,2ª série Regular
2ª série Regular C- T,Icaraí 2,2ª série Regular
2º ano A - M,Icaraí 2,EF 2º ano
3º ano A - M,Icaraí 2,EF 3º ano
4º ano A - M,Icaraí 2,EF 4º ano
5º ano A - M,Icaraí 2,EF 5º ano
6º ano A - M,Icaraí 2,EF 6º ano
7º ano A - M,Icaraí 2,EF 7º ano
8º ano A - M,Icaraí 2,EF 8º ano
9º ano A - M,Icaraí 2,EF 9º ano
9º ano B - M,Icaraí 2,EF 9º ano
Icaraí 2 - Dependência - 1ª série,Icaraí 2,Dependência 1ª série
Icaraí 2 - Dependência - 2ª série,Icaraí 2,Dependência 2ª série
Icaraí 2 - Dependência - 6º ano,Icaraí 2,Dependência 6º ano
Icaraí 2 - Dependência - 7º ano,Icaraí 2,Dependência 7º ano
Icaraí 2 - Dependência - 8º ano,Icaraí 2,Dependência 8º ano
Icaraí 2 - Dependência - 9º ano,Icaraí 2,Dependência 9° ano
6º ano A - M,Ilha do Governador 1,EF 6º ano
6º ano A - T,Ilha do Governador 1,EF 6º ano
7º ano A - M,Ilha do Governador 1,EF 7º ano
7º ano A - T,Ilha do Governador 1,EF 7º ano
8º ano A - M,Ilha do Governador 1,EF 8º ano
9º ano A - M,Ilha do Governador 1,EF 9º ano
Ilha do Governador 1 - Dependência - 6º ano,Ilha do Governador 1,Dependência 6º ano
Ilha do Governador 1 - Dependência - 7º ano,Ilha do Governador 1,Dependência 7º ano
Ilha do Governador 1 - Dependência - 8º ano,Ilha do Governador 1,Dependência 8º ano
1ª série Regular A - M,Ilha do Governador 2,1ª série Regular
1ª série Regular A - T,Ilha do Governador 2,1ª série Regular
2ª série Regular A - M,Ilha do Governador 2,2ª série Regular
3ª série AFA/EFOMM A - T,Ilha do Governador 2,3ª Série AFA/EFOMM
3ª série Pré-vestibular A - M,Ilha do Governador 2,3ª Série Pré-vestibular
3ª série Pré-vestibular B - T,Ilha do Governador 2,3ª Série Pré-vestibular
9º ano Preparatório A - T,Ilha do Governador 2,9º Ano Preparatório
AFA/EFOMM A - T,Ilha do Governador 2,AFA/EFOMM
Ilha do Governador 2 - Dep - 1ª série,Ilha do Governador 2,Dependência 1ª série
Ilha do Governador 2 - Dep - 2ª série,Ilha do Governador 2,Dependência 2ª série
Ilha do Governador 2 - Dep - 9º ano,Ilha do Governador 2,Dependência 9° ano
Preparatório A - T,Ilha do Governador 2,Preparatório
Pré-vestibular A - M,Ilha do Governador 2,Pré-vestibular
Pré-vestibular B - T,Ilha do Governador 2,Pré-vestibular
1ª série Regular A - M,Ipanema,1ª série Regular
2ª série Regular A - M,Ipanema,2ª série Regular
3ª série IME/ITA A - T,Ipanema,3ª Série IME/ITA
3ª série Pré-vestibular A - M,Ipanema,3ª Série Pré-vestibular
3ª série Pré-vestibular B - T,Ipanema,3ª Série Pré-vestibular
6º ano A - M,Ipanema,EF 6º ano
7º ano A - M,Ipanema,EF 7º ano
8º ano A - M,Ipanema,EF 8º ano
9º ano A - M,Ipanema,EF 9º ano
IME/ITA  A - T,Ipanema,IME/ITA
Ipanema - Dependência - 1ª série,Ipanema,Dependência 1ª série
Ipanema - Dependência - 2ª série,Ipanema,Dependência 2ª série
Ipanema - Dependência - 6º ano,Ipanema,Dependência 6º ano
Ipanema - Dependência - 7º ano,Ipanema,Dependência 7º ano
Ipanema - Dependência - 8º ano,Ipanema,Dependência 8º ano
Ipanema - Dependência - 9º ano,Ipanema,Dependência 9° ano
Pré-vestibular A - M,Ipanema,Pré-vestibular
Pré-vestibular B - T,Ipanema,Pré-vestibular
Pré-vestibular C - N,Ipanema,Pré-vestibular
1ª série Regular A - M,Itaipu,1ª série Regular
1ª série Regular B - M,Itaipu,1ª série Regular
1ª série Regular C - T,Itaipu,1ª série Regular
2ª série Regular A - M,Itaipu,2ª série Regular
2ª série Regular B - M,Itaipu,2ª série Regular
2ª série Regular C - T,Itaipu,2ª série Regular
3ª série Pré-vestibular A - M,Itaipu,3ª Série Pré-vestibular
3ª série Pré-vestibular B - M,Itaipu,3ª Série Pré-vestibular
