BIOLOGIA,BIOLOGIA,BIO
EDUCAÇÃO ARTÍSTICA,ARTES,EDA
EDUCAÇÃO FÍSICA,ESPORTES,EDF
FILOSOFIA,FILOSOFIA,FIL
FÍSICA,FÍSICA,FIS
GEOGRAFIA,GEOGRAFIA,GEO
HISTÓRIA,HISTÓRIA,HIS
LEGO,LEGO,LEG
LÍNGUA ESPANHOL,ESPANHOL,ESP
LÍNGUA ESTRANGEIRA,LÍNGUAS,LES
LÍNGUA INGLESA,INGLÊS,ING
LÍNGUA PORTUGUESA,PORTUGUÊS,POR
LITERATURA,LITERATURA,LIT
MATEMÁTICA,MATEMÁTICA,MAT
MATEMÁTICA BÁSICA,MAT-0,MAB
MONITORIA,MONITORIA,MON
PORTUGUÊS BÁSICO,PORT-0,POB
PROGRAMA DE ORIENTAÇÃO EDUCACIONAL,POE,POE
QUÍMICA,QUÍMICA,QUI
REDAÇÃO,REDAÇÃO,RED
SOCIOLOGIA,SOCIOLOGIA,SOC
TEATRO,TEATRO,TEA
XADREZ,XADREZ,XAD
CIÊNCIAS,CIÊNCIAS,CIE
